V,E,Time(list)/us, Time(matrix)/us
2,1,1.7,1.3
102,101,31,116.7
202,201,47.9,346.6
302,301,78.8,729.9
402,401,118.1,1332.5
502,501,133.6,2106.5
602,601,186.7,3559.1
702,701,204.9,4526.4
802,801,258.6,7087.5
902,901,340.6,9506.5
