V,E,Time(list)/us, Time(matrix)/us
2,0,2.4,1.6
102,0,14.5,109.3
202,0,28.3,435.8
302,0,38.5,935
402,0,51.9,1674
502,0,62,2285.6
602,0,75.2,3761.7
702,0,84.3,4700.3
802,0,96.2,6649.9
902,0,113.7,8186.7
