V,E,Time(list)/us,Time(matrix)/us
1024,0,112.5,8151
1024,32768,2721.5,12432.5
1024,65536,5597.5,14536
1024,98304,9686,15084
1024,131072,15106.5,15633.5
1024,163840,20374,16308.5
1024,196608,24347,16958
1024,229376,34097,18522
1024,262144,40010.5,19900.5
1024,294912,50020.5,19317.5
1024,327680,55074,20456
1024,360448,62876,19045
1024,393216,70564.5,19307
1024,425984,77231.5,20399
