V,E,Time(list), Time(matrix)
2,0,0.018,0.006
52,0,0.084,0.279
102,0,0.11,0.783
152,0,0.168,1.693
202,0,0.208,2.989
252,0,0.219,4.071
302,0,0.256,5.75
352,0,0.297,7.572
402,0,0.367,9.744
452,0,0.382,12.791
502,0,0.486,15.917
552,0,0.488,19.277
602,0,0.784,38.586
652,0,0.576,27.426
702,0,0.884,47.207
752,0,0.922,58.713
802,0,0.985,64.716
852,0,0.996,69.556
902,0,0.769,54.329
952,0,0.871,60.371
