V,E,Time(list), Time(matrix)
52,51,0.107,0.264
102,101,0.218,0.935
152,151,0.362,2.094
202,201,0.57,3.636
252,251,0.691,5.268
302,301,0.623,7.12
352,351,1.098,11.349
402,401,1.107,14.022
452,451,1.321,17.704
502,501,1.46,25.329
552,551,1.929,32.637
602,601,2.206,45.405
652,651,2.387,54.61
702,701,3.022,68.007
752,751,2.259,58.055
802,801,2.677,65.75
852,851,1.862,61.521
902,901,2.509,82.266
952,951,3.773,116.393
