V,E,Time(list), Time(matrix)
256,0,1.244,23.777
256,1351,7.131,34.648
256,2702,9.947,39.344
256,4053,14.035,42.715
256,5404,18.983,48.324
256,6755,24.823,51.968
256,8106,26.882,51.894
256,9457,30.972,53.007
256,10808,33.654,51.206
256,12159,34.821,49.229
256,13510,40.423,50.289
256,14861,50.178,57.489
256,16212,53.208,56.335
256,17563,57.994,57.611
