V,E,Time(list), Time(matrix)
2,0,0.003,0.001
502,0,0.086,3.525
502,72655,11.426,7.909
1002,0,0.215,12.939
1002,252093,84.078,31.333
1502,0,0.259,29.183
1502,522403,222.229,73.842
1502,1044806,519.765,66.987
2002,0,0.372,69.79
2002,876264,417.172,130.863
