V,E,Time(list), Time(matrix)
2,1,0.004,0.003
52,1326,0.123,0.105
102,5151,0.643,0.33
152,11476,1.619,0.8
202,20301,3.603,1.261
252,31626,5.216,2.216
302,45451,9.762,2.572
352,61776,11.736,3.486
402,80601,18.098,4.849
452,101926,27.417,5.838
502,125751,37.891,8.42
552,152076,54.802,7.957
602,180901,67.204,9.286
652,212226,83.403,12.755
702,246051,96.585,14.365
752,282376,113.175,15.194
802,321201,135.981,23.523
852,362526,161.366,21.899
902,406351,190.462,28.397
952,452676,207.91,21.213
