V,E,Time(list), Time(matrix)
1024,0,0.171,13.843
1024,32768,5.075,21.53
1024,65536,12.825,25.296
1024,98304,23.139,27.333
1024,131072,28.376,29.466
1024,163840,46.566,33.293
1024,196608,58.42,29.206
1024,229376,83.078,35.431
1024,262144,104.35,37.551
1024,294912,123.998,35.334
1024,327680,126.861,32.003
1024,360448,134.155,35.371
1024,393216,162.504,31.049
1024,425984,163.158,30.718
