V,E,Time(list), Time(matrix)
2,0,0.156,0.091
52,0,0.725,2.481
102,0,1.271,9.887
152,0,1.746,19.105
202,0,1.988,28.631
252,0,2.697,48.539
302,0,3.089,68.013
352,0,3.727,94.152
402,0,4.653,138.627
452,0,5.496,191.817
502,0,6.376,256.804
552,0,6.341,262.457
602,0,6.29,261.35
652,0,8.139,406.985
702,0,9.454,516.347
752,0,8.064,485.036
802,0,8.21,495.431
852,0,8.066,535.992
902,0,9.269,622.667
952,0,9.556,676.197
